"WD  Green M.2 2280(120GB),WD,내장형,M.2 (2280),확인 요망,,,,최대 430MB/s,최대 540MB/s,,,,,,,"
"타무즈  RX550(128GB),타무즈,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,실리콘모션 SM2258,최대 460MB/s,최대 560MB/s,,,,,,,"
"ADATA  Ultimate SU700(120GB),ADATA,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,Maxiotek,최대 320MB/s,최대 560MB/s,,O,,,,,"
"WD  Black M.2 2280(512GB),WD,내장형,M.2 (2280),,,,,최대 800MB/s,최대 2,050MB/s,,,,,,,"
"ADATA  XPG SX8000 M.2 2280(128GB),ADATA,내장형,M.2 (2280),MLC(기타),3D낸드,,실리콘모션 SMI2260,최대 550MB/s,최대 1,000MB/s,,,,,,,"
"갤럭시  GALAX GAMER V100T(120GB),갤럭시,내장형,2.5형(6.4cm),TLC(토글),3D낸드,,파이슨 S3111-S11,최대 500MB/s,최대 520MB/s,,,,,,,"
"BIOSTAR  S100 Series(120GB),BIOSTAR,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,마벨 1120,300MB/s,460MB/s,,,,,,,"
"라온티앤아이  RX630(128GB),라온티앤아이,내장형,2.5형(6.4cm),MLC(토글),,,실리콘모션 2246,170MB/s,520MB/s,,,,,,,"
"AVEXIR  E100(120GB),AVEXIR,내장형,2.5형(6.4cm),TLC(토글),,15 nm,도시바,최대 370MB/s,최대 550MB/s,,,,,,,"
"삼성전자  750 EVO(250GB),삼성전자,내장형,2.5형(6.4cm),TLC 기반,,16 nm,삼성,최대 520MB/s,최대 540MB/s,,O,,,,,"
"TOPDISK  SKT20(120GB),TOPDISK,내장형,2.5형(6.4cm),TLC(토글),,15 nm,실리콘모션 SM2256K,최대 400MB/s,최대 560MB/s,,,,,,,"
"라온티앤아이  M520 M.2 2280(128GB),라온티앤아이,내장형,M.2 (2280),MLC(토글),,,실리콘모션 SM2246EN,최대 170MB/s,최대 550MB/s,,,,,,,"
"TeamGroup  L7 EVO(240GB),TeamGroup,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88NV1120,최대 370MB/s,최대 530MB/s,,,,,,,"
"BIOSTAR  S100 Series(240GB),BIOSTAR,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,마벨 1120,430MB/s,550MB/s,,,,,,,"
"Plextor  M8PeGN M.2 2280(256GB),Plextor,내장형,M.2 (2280),MLC(토글),,15 nm,마벨 88SS1093,최대 900MB/s,최대 2,000MB/s,,,,,,,"
"WD  Blue M.2 2280(250GB),WD,내장형,M.2 (2280),확인 요망,,,,최대 500MB/s,최대 540MB/s,,,,,,,"
"ADATA  XPG SX8000 M.2 2280(256GB),ADATA,내장형,M.2 (2280),MLC(기타),3D낸드,,실리콘모션 SMI2260,최대 1,100MB/s,최대 2,000MB/s,,,,,,,"
"Plextor  M8PeG M.2 2280(1TB),Plextor,내장형,M.2 (2280),MLC(토글),,15 nm,마벨 88SS1093,최대 1,400MB/s,최대 2,500MB/s,,,,,,,"
