"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT ZKW (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,200MHz,1.35V"
"GeIL  DDR4 16G PC4-24000 CL15 EVO-X 화이트 RGB (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"GeIL  DDR4 16G PC4-25600 CL16 EVO-X RGB (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"GeIL  DDR4 8G PC4-19200 CL16 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,8GB,2,400MHz,1.20V"
"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT ZSW (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,200MHz,1.35V"
"마이크론 Crucial DDR4 8G PC4-17000,마이크론,DDR4,PC용,1ea,미포함,8GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-27700 CL16 TRIDENT Z RGB (8Gx4),G.SKILL,DDR4,PC용,4ea,포함,32GB,3,466MHz,1.35V"
"G.SKILL  DDR4 32G PC4-30900 CL18 TRIDENT Z RGB (8Gx4),G.SKILL,DDR4,PC용,4ea,포함,32GB,3,866MHz,1.35V"
"G.SKILL  DDR4 8G PC4-17000 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,8GB,2,133MHz,1.20V"
"GeIL  DDR4 16G PC4-19200 CL16 EVO-X 화이트 RGB (16Gx1),GeIL,DDR4,PC용,1ea,포함,16GB,2,400MHz,1.20V"
"타무즈  노트북 DDR3 8G PC3-12800 CL11 1.35V,타무즈,DDR3,노트북용,1ea,미포함,8GB,1,600MHz,1.35V"
"TeamGroup  DDR3 4G PC3-12800,TeamGroup,DDR3,PC용,1ea,미포함,4GB,1,600MHz,1.50V"
"마이크론 Crucial DDR4 4G PC4-17000,마이크론,DDR4,PC용,1ea,미포함,4GB,2,133MHz,1.20V"
"GeIL  DDR4 4G PC4-19200 CL16 PRISTINE,GeIL,DDR4,PC용,1ea,미포함,4GB,2,400MHz,1.20V"
