"GIGABYTE  PW400 80PLUS WHITE 유체베어링,GIGABYTE,ATX 파워,정격 400W,,20핀+4핀,120mm 팬,O,,,,,O"
"EPITECH ENERGY OPTIMUS PRIME K500,EPITECH,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"SuperFlower  SF-600R14SE Silver Green FX,SuperFlower,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,O"
"ANDYSON  JUPITER 500W BLUE LED +12V Single Rail 모듈러,ANDYSON,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,"
"맥스엘리트  MAXWELL 500W 3.3V DC to DC FOR DDR4,맥스엘리트,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"맥스엘리트  MAXWELL 400W 3.3V DC to DC FOR DDR4,맥스엘리트,ATX 파워,정격 400W,표기 400W,20핀+4핀,120mm 팬,O,,,,,"
"FSP  Hydro 600W 80PLUS BRONZE 230V EU,FSP,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O"
"ANDYSON  MARS 550W BRONZE 모듈러,ANDYSON,ATX 파워,정격 550W,,20핀+4핀,120mm 팬,O,,,O,,O"
"델타  GPS-650JB 80 PLUS BRONZE,델타,ATX 파워,정격 650W,,20핀+4핀,120mm 팬,O,,,O,,O"
"FSP  Hydro G 650W,FSP,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,O,,,O,,O"
"엑슬비젼  BYSUO 파워맨 500SE KC 벌크,엑슬비젼,ATX 파워,정격 230W,표기 500W,20핀+4핀,120mm 팬,O,,,,,"
"시소닉  M12II-620 EVO 80PLUS 브론즈,시소닉,ATX 파워,정격 620W,표기 620W,20핀+4핀,120mm 팬,O,,,O,,O"
"iGuju  ELPIS SP-500EL,iGuju,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,,,"
"맥스엘리트  MAXWELL GAMING 500W 85PLUS,맥스엘리트,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,"
"POWEREX  바쿠나 500W,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
