구분,장르,CPU,RAM,HDD,그래픽카드,CPU,RAM,HDD,그래픽카드
스페셜포스,FPS,인텔 펜티엄 G4560 (카비레이크)(정품),256MB,1GB,,인텔 펜티엄 G4560 (카비레이크)(정품),512MB,1GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
디아블로2,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),512MB,2GB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,2GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
크레이지아케이드,Arcade,인텔 펜티엄 G4560 (카비레이크)(정품),256MB,500MB,,인텔 펜티엄 G4560 (카비레이크)(정품),512MB,500MB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
아키에이지,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,40GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,40GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
트리오브세이비어,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,15GB,,인텔 코어i3-7세대 7100 (카비레이크)(정품),8GB,15GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
바람의나라,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,2GB,,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,2GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
거상,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,4GB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,4GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
마비노기,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,10GB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,10GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
이카루스,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),4GB,30GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,30GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
마구마구,Sports,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,4GB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,4GB,
R2,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),1GB,8GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),2GB,8GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
도타2,AOS,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,15GB,,인텔 코어i3-7세대 7100 (카비레이크)(정품),4GB,15GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB
클로저스,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,5GB,,인텔 코어i3-7세대 7100 (카비레이크)(정품),4GB,10GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
프리스타일2,Sports,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,700MB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,1GB,
버블파이터,FPS,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,3GB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,3GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
메이플스토리2,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),3GB,8GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,8GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
엘소드,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,6GB,,인텔 코어i3-7세대 7100 (카비레이크)(정품),4GB,10GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
월드오브탱크,FPS,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,16GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,30GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
아바,FPS,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,30GB,,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,30GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
슬러거,Sports,인텔 펜티엄 G4560 (카비레이크)(정품),256MB,2GB,,인텔 펜티엄 G4560 (카비레이크)(정품),512MB,2GB,
러브비트,Arcade,인텔 펜티엄 G4560 (카비레이크)(정품),512MB,8GB,,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,8GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
오디션,Arcade,인텔 펜티엄 G4560 (카비레이크)(정품),512MB,8GB,,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,8GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
뮤,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,2GB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,2GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
겟앰프드,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,1GB,,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,1GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
GTA5,Adventure,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,65GB,,인텔 코어i5-7세대 7400 (카비레이크)(정품),8GB,65GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
배틀그라운드,Adventure,인텔 코어i3-7세대 7100 (카비레이크)(정품),6GB,30GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),6GB,30GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
아웃라스트2,Adventure,인텔 코어i3-7세대 7100 (카비레이크)(정품),4GB,30GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),8GB,30GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
스카이림 엘더스크롤,Adventure,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,6GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,6GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
문명5,RTS,인텔 코어i5-7세대 7500 (카비레이크)(정품),2GB,8GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,8GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
포탈2,Arcade,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,8GB,,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,8GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
테일즈위버,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,10GB,,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,15GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
