"Toshiba  500GB DT01ACA050 (SATA3/7200/32M),Toshiba,HDD (PC용),500GB,SATA3(6Gb/s),7,200 RPM,메모리 32MB,8.9cm (3.5형)"
"WD  3TB Red WD30EFRX (SATA3/64M),WD,HDD (서버용),3TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,26mm"
"HGST  10TB Ultrastar He10 HUH721010ALE600 (SATA3/7200/256M),HGST,HDD (서버용),10TB,SATA3(6Gb/s),7,200 RPM,메모리 256MB,26mm"
"Toshiba  2TB MC04ACA200 (SATA3/7200RPM/128M),Toshiba,HDD (서버용),2TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"HGST  4TB Deskstar NAS HDN726040ALE614 (SATA3/7200/128M),HGST,HDD (서버용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"HGST  8TB Ultrastar He8 HUH728080ALE600(SATA3/7200/128M),HGST,HDD (PC용),8TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,8.9cm (3.5형)"
"HGST  1TB Travelstar 7K1000 HTS721010A9E630 (SATA3/7200/32M/노트북용),HGST,HDD (노트북용),1TB,SATA3(6Gb/s),7,200 RPM,메모리 32MB,9.5mm"
"Seagate  8TB IronWolf ST8000VN0022 (SATA3/7200/256M),Seagate,HDD (서버용),8TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"Seagate  6TB IronWolf ST6000VN0041 (SATA3/7200/128M),Seagate,HDD (서버용),6TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26mm"
"HGST  6TB Deskstar NAS HDN726060ALE614 패키지 (SATA3/7200/128M/2PACK),HGST,HDD (서버용),6TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Seagate  1TB FireCuda SSHD ST1000DX002 (SATA3/7200/64M),Seagate,HDD (PC용),1TB,SATA3 (6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"Seagate  2TB IronWolf ST2000VN004 (SATA3/5900/64M),Seagate,HDD (서버용),2TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,26mm"
"HGST  2TB Ultrastar 7K2 HUS722T2TALA604 (SATA3/7200/128M),HGST,HDD (서버용),2TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26mm"
"Seagate  8TB Archive HDD ST8000AS0002 (SATA3/5900/128M),Seagate,HDD (서버용),8TB,SATA3(6Gb/s),5,900 RPM,메모리 128MB,26.1mm"
"HGST  1TB Travelstar 5K1000 HTS541010A9E680 (SATA3/5400/8M/노트북용),HGST,HDD (노트북용),1TB,SATA3(6Gb/s),5,400 RPM,메모리 8MB,9.5mm"
"Toshiba  6TB MC04ACA600 (SATA3/7200RPM/128M),Toshiba,HDD (서버용),6TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Seagate  10TB IronWolf Pro ST10000NE0004 (SATA3/7200/256M),Seagate,HDD (서버용),10TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"WD  1TB BLACK WD1003FZEX (SATA3/7200/64M),WD,HDD (PC용),1TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"HGST  3TB Deskstar NAS HDN724030ALE640 (SATA3/7200/64M),HGST,HDD (서버용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,26.1mm"
"WD  6TB BLUE WD60EZRZ (SATA3/5400/64M),WD,HDD (PC용),6TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,8.9cm (3.5형)"
"HGST  5TB DeskStar NAS HDN726050ALE610 패키지 (SATA3/7200/128M),HGST,HDD (서버용),5TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"WD  1TB MOBILE BLACK WD10JPLX (SATA3/7200/32M/노트북용),WD,HDD (노트북용),1TB,SATA3 (6Gb/s),7,200 RPM,메모리 32MB,9.5mm"
"Toshiba  6TB MD04ACA600 (SATA3/7200/128M),Toshiba,HDD (PC용),6TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,8.9cm (3.5형)"
"Seagate  10TB SkyHawk HDD ST10000VX0004 (SATA3/7200/256M),Seagate,HDD (PC용),10TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"Toshiba  500GB DT01ACA050 (SATA3/7200/64M),Toshiba,HDD (PC용),500GB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"Seagate  500GB Barracuda ST500LM030 (SATA3/5400/128M/노트북용),Seagate,HDD (노트북용),500GB,SATA3 (6Gb/s),5,400 RPM,메모리 128MB,7mm"
"Seagate  4TB Barracuda Pro ST4000DM006 (SATA3/7200/128M),Seagate,HDD (PC용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,8.9cm (3.5형)"
"Toshiba  1TB MQ01ABD100 (SATA2/5400/8M/노트북용),Toshiba,HDD (노트북용),1TB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,9.5mm"
"Seagate  4TB IronWolf Pro ST4000NE0025 (SATA3/7200/128M),Seagate,HDD (서버용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26mm"
"Seagate  8TB IronWolf Pro ST8000NE0004 (SATA3/7200/256M),Seagate,HDD (서버용),8TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"Toshiba  2TB DT01ABA200V (SATA3/5700/64M),Toshiba,HDD (서버용),2TB,SATA3 (6Gb/s),5,700 RPM,메모리 64MB,26mm"
"HGST  1TB Ultrastar 7K2 (SATA3/7200/128M),HGST,HDD (서버용),1TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26mm"
"HGST  6TB Ultrastar 7K6000 HUS726060ALE610 (SATA3/7200/128M),HGST,HDD (서버용),6TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"HGST  500GB Travelstar Z7K500 HTS725050A7E630 (SATA3/7200/32M/노트북용),HGST,HDD (노트북용),500GB,SATA3(6Gb/s),7,200 RPM,메모리 32MB,7mm"
"WD  500GB WD5000AZLX (SATA3/7200/32M),WD,HDD (PC용),500GB,SATA3(6Gb/s),7,200 RPM,메모리 32MB,8.9cm (3.5형)"
"Seagate  6TB IronWolf Pro ST6000NE0021 (SATA3/7200/256M),Seagate,HDD (서버용),6TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"HGST  3TB Deskstar NAS HDN724030ALE640 패키지 (SATA3/7200/64M/4PACK),HGST,HDD (서버용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,26.1mm"
"HGST  5TB Deskstar NAS HDN726050ALE610 패키지 (SATA3/7200/128M/4PACK),HGST,HDD (서버용),5TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Seagate  8TB IronWolf Pro ST8000NE0021 (SATA3/7200/256M),Seagate,HDD (서버용),8TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"HGST  6TB Ultrastar 7K6000 HUS726060AL5210 (12Gb/s SAS/7200/128M),HGST,HDD (서버용),6TB,SA-SCSI,7,200 RPM,메모리 128MB,26.1mm"
"Seagate  1TB IronWolf ST1000VN002 (SATA3/5900/64M),Seagate,HDD (서버용),1TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,20mm"
"WD  2TB Red WD20EFRX (SATA3/64M),WD,HDD (서버용),2TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,26mm"
"WD  4TB WD4004FZWX (SATA3/7200/128M),WD,HDD (PC용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,8.9cm (3.5형)"
"WD  1TB Red WD10EFRX (SATA3/64M),WD,HDD (서버용),1TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,26mm"
"HGST  500GB Travelstar Z5K500 HTS545050A7E680 (SATA3/5400/8M/노트북용),HGST,HDD (노트북용),500GB,SATA3(6Gb/s),5,400 RPM,메모리 8MB,7mm"
"HGST  500GB Travelstar Z5K500.B HTS545050B7E660 (SATA3/5400/16M/노트북용),HGST,HDD (노트북용),500GB,SATA3 (6Gb/s),5,400 RPM,메모리 16MB,7mm"
"HGST  6TB Ultrastar He8 HUH728060ALE600(SATA3/7200/128M),HGST,HDD (PC용),6TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,8.9cm (3.5형)"
"Seagate  8TB SkyHawk HDD ST8000VX0022 (SATA3/7200/256M),Seagate,HDD (서버용),8TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"WD  6TB Red Pro WD6002FFWX (SATA3/128M),WD,HDD (서버용),6TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26mm"
"WD  500GB MOBILE BLUE WD5000LPCX (SATA3/5400/16M/노트북용),WD,HDD (노트북용),500GB,SATA3(6Gb/s),5,400 RPM,메모리 16MB,7mm"
"HGST  4TB Ultrastar 7K4000 HUS724040ALA640 (SATA3/7200/64M),HGST,HDD (서버용),4TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,26.1mm"
"Seagate  2TB Barracuda Pro ST2000DM009 (SATA3/7200/128M),Seagate,HDD (PC용),2TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,8.9cm (3.5형)"
"Seagate  8TB Barracuda Pro ST8000DM005 (SATA3/7200/256M),Seagate,HDD (PC용),8TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,8.9cm (3.5형)"
"Seagate  2TB SkyHawk HDD ST2000VX008 (SATA3/5900/64M),Seagate,HDD (서버용),2TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,26mm"
"HGST  600GB Ultrastar C15K600 HUC156060CSS200 (SAS 12Gb/s/15K/128M),HGST,HDD (서버용),600GB,SAS 12Gb/s,15,000 RPM,메모리 128MB,14.8mm"
"HGST  4TB Ultrastar 7K4000 HUS724040ALS640 (SAS/7200/64M),HGST,HDD (서버용),4TB,SA-SCSI,7,200 RPM,메모리 64MB,26.1mm"
"WD  6TB WD6001FZWX (SATA3/7200/128M),WD,HDD (PC용),6TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,"
"WD  500GB MOBILE BLUE WD5000LPVX (SATA3/5400/8M/노트북용),WD,HDD (노트북용),500GB,SATA3(6Gb/s),5,400 RPM,메모리 8MB,7mm"
"Seagate  6TB Barracuda Pro ST6000DM004 (SATA3/7200/256M),Seagate,HDD (PC용),6TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,8.9cm (3.5형)"
"HGST  300GB Ultrastar C15K600 HUC156030CSS200 (SAS 12Gb/s/15K/128M),HGST,HDD (서버용),300GB,SAS 12Gb/s,15,000 RPM,메모리 128MB,14.8mm"
"Toshiba  3TB DT01ABA300V (SATA3/5940/64M),Toshiba,HDD (서버용),3TB,SATA3 (6Gb/s),5,940 RPM,메모리 64MB,26mm"
"Seagate  3TB SkyHawk HDD ST3000VX010 (SATA3/5900/64M),Seagate,HDD (서버용),3TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,26mm"
"Seagate  500GB Barracuda ST500DM009 (SATA3/7200/32M),Seagate,HDD (PC용),500GB,SATA3 (6Gb/s),7,200 RPM,메모리 32MB,8.9cm (3.5형)"
"Seagate  3TB IronWolf ST3000VN007 (SATA3/5900/64M),Seagate,HDD (서버용),3TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,26mm"
"Toshiba  500GB MQ01ABF050 (SATA2/5400/8M/노트북용),Toshiba,HDD (노트북용),500GB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,7mm"
"Seagate  4TB SkyHawk HDD ST4000VX007 (SATA3/5900/64M),Seagate,HDD (서버용),4TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,26mm"
"Seagate  6TB SkyHawk HDD ST6000VX0023 (SATA3/7200/256M),Seagate,HDD (서버용),6TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"Toshiba  1TB DT01ABA100V (SATA3/5700/64M),Toshiba,HDD (서버용),1TB,SATA3 (6Gb/s),5,700 RPM,메모리 64MB,26mm"
"Seagate  1TB SkyHawk HDD ST1000VX005 (SATA3/5900/64M),Seagate,HDD (서버용),1TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,20mm"
"WD  2TB Red Pro WD2001FFSX (SATA3/64M),WD,HDD (서버용),2TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,26mm"
"Seagate  2TB IronWolf Pro ST2000NE0025 (SATA3/7200/128M),Seagate,HDD (서버용),2TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26mm"
"Seagate  6TB Archive HDD ST6000AS0002 (SATA3/5900/128M),Seagate,HDD (서버용),6TB,SATA3(6Gb/s),5,900 RPM,메모리 128MB,26.1mm"
"Toshiba  3TB MC04ACA300 (SATA3/7200RPM/128M),Toshiba,HDD (서버용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"WD  500GB MOBILE BLACK WD5000LPLX (SATA3/7200/32M/노트북용),WD,HDD (노트북용),500GB,SATA3 (6Gb/s),7,200 RPM,메모리 32MB,7mm"
"Toshiba  4TB MG04ACA400 Enterprise (SATA3/7200/128M),Toshiba,HDD (서버용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Seagate  500GB Laptop Thin ST500LM021 (SATA3/7200/32M/노트북용),Seagate,HDD (노트북용),500GB,SATA3(6Gb/s),7,200 RPM,메모리 32MB,7mm"
"WD  4TB Caviar Green WD40EZRX (SATA3/5400/64M/리퍼비시),WD,HDD (PC용),4TB,SATA3(6Gb/s),,메모리 64MB,"
"WD  4TB RE WD4000FYYZ (SATA3/7200/64M),WD,HDD (서버용),4TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,26.1mm"
"WD  500GB Scorpio Blue WD5000LPCX (SATA3/5400/16M/노트북용),WD,HDD (노트북용),500GB,SATA3(6Gb/s),5,400 RPM,메모리 16MB,7mm"
"Seagate  2TB Enterprise NAS HDD + Rescue ST2000VN0011 (SATA3/7200/128M),Seagate,HDD (서버용),2TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Toshiba  2TB MG04ACA200 Enterprise (SATA3/7200/128M),Toshiba,HDD (서버용),2TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Seagate  3TB Enterprise NAS HDD + Rescue ST3000VN0011 (SATA3/7200/128M),Seagate,HDD (서버용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Seagate  1TB Barracuda ST1000DM003 (SATA3/7200/64M),Seagate,HDD (PC용),1TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"HGST  4TB Deskstar NAS HDN726040ALE614 패키지 (SATA3/7200/128M/4PACK),HGST,HDD (서버용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"HGST  6TB Deskstar NAS HDN726060ALE614 패키지 (SATA3/7200/128M/4PACK),HGST,HDD (서버용),6TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"HGST  4TB Ultrastar 7K6000 HUS726040ALA610 (SATA3/7200/128M),HGST,HDD (서버용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"HGST  4TB Ultrastar 7K6000 HUS726040ALS210 (SAS/7200/128M),HGST,HDD (서버용),4TB,SA-SCSI (12Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Toshiba  2TB DT01ABA200V (SATA3/5700/32M),Toshiba,HDD (서버용),2TB,SATA3(6Gb/s),5,700 RPM,메모리 32MB,26.1mm"
"Toshiba  3TB DT01ABA300V (SATA3/5940/32M),Toshiba,HDD (서버용),3TB,SATA3(6Gb/s),5,940 RPM,메모리 32MB,26.1mm"
"Toshiba  1TB DT01ABA100V (SATA3/5700/32M),Toshiba,HDD (서버용),1TB,SATA3(6Gb/s),5,700 RPM,메모리 32MB,26.1mm"
"크로바하이텍  1TB UTANIA MM804RS (SATA2/5400/8M/노트북용/리퍼비시),크로바하이텍,HDD (리퍼비시),1TB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,"
"크로바하이텍  1.5TB UTANIA MM9T6SS (SATA2/5400/32M/노트북용/리퍼비시),크로바하이텍,HDD (노트북용),1.5TB,SATA2(3Gb/s),5,400 RPM,메모리 32MB,"
"크로바하이텍  2TB UTANIA MM9T6TS (SATA2/5400/32M/노트북용/리퍼비시),크로바하이텍,HDD (노트북용),2TB,SATA2(3Gb/s),5,400 RPM,메모리 32MB,"
"크로바하이텍  500GB UTANIA MM802NS (SATA2/5400/8M/노트북용/리퍼비시),크로바하이텍,HDD (리퍼비시),500GB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,"
"크로바하이텍  750GB UTANIA MM804QS (SATA2/5400/8M/노트북용/리퍼비시),크로바하이텍,HDD (리퍼비시),750GB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,"
"크로바하이텍  320GB UTANIA MM802LS (SATA2/5400/8M/노트북용/리퍼비시),크로바하이텍,HDD (리퍼비시),320GB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,"
"크로바하이텍  500GB UTANIA DF102NS (SATA2/5400/16M/리퍼비시),크로바하이텍,HDD (PC용),500GB,SATA2(3Gb/s),5,400 RPM,메모리 16MB,"
"크로바하이텍  640GB UTANIA MM804PS (SATA2/5400/8M/노트북용/리퍼비시),크로바하이텍,HDD (리퍼비시),640GB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,"
"크로바하이텍  160GB UTANIA MM802GS (SATA2/5400/8M/노트북용/리퍼비시),크로바하이텍,HDD (리퍼비시),160GB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,"
"크로바하이텍  250GB UTANIA MM802JS (SATA2/5400/8M/노트북용/리퍼비시),크로바하이텍,HDD (리퍼비시),250GB,SATA2(3Gb/s),5,400 RPM,메모리 8MB,"
"WD  2TB Red Pro WD2002FFSX (SATA3/64M),WD,HDD (서버용),2TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,26mm"
